이름,레벨,푼 문제 번호,푼 문제의 레벨,unrated,bronze,silver,gold,platinum,diamond,ruby
김광수,6,"[14650, 16992, 14562, 9464, 2101, 20529, 27163, 26097, 28119, 15939, 11493, 7140, 22873, 2694, 5619, 11059, 8112, 17837, 23058, 9694, 3462, 14948, 18311, 19533, 25604, 9335, 8944, 1235, 10953, 25083, 20665, 16884, 23720, 9347, 15918, 4920, 12836, 1605, 25822, 6143, 28464, 24369, 1470, 1486, 24418, 12963, 7616, 1175, 10709, 28118]","[9, 0, 9, 15, 0, 10, 15, 15, 13, 24, 20, 12, 19, 13, 9, 6, 17, 14, 13, 13, 15, 14, 6, 23, 13, 9, 16, 7, 3, 1, 12, 13, 22, 13, 11, 11, 4, 18, 10, 14, 6, 10, 14, 14, 7, 18, 19, 15, 6, 12]",2.0,3.0,13.0,22.0,7.0,3.0,0.0
이현준,6,"[2585, 13342, 1831, 18829, 1816, 2713, 25185, 20920, 15771, 21162, 2707, 3955, 4011, 13415, 27534, 10074, 13223, 14244, 10476, 18228, 27278, 13246, 16118, 10805, 14866, 5211, 24313, 15908, 25758, 1298, 3908, 27987, 24336, 18184, 20315, 17961, 24433, 13513, 1527, 17483, 1732, 26656, 14207, 16990, 24731, 3659, 1408, 10428, 16711, 2232]","[14, 21, 16, 0, 5, 9, 7, 8, 22, 18, 0, 16, 22, 15, 13, 18, 3, 7, 11, 4, 10, 14, 15, 16, 20, 5, 6, 19, 10, 17, 13, 15, 10, 17, 19, 26, 18, 23, 10, 0, 14, 15, 19, 17, 15, 18, 4, 16, 19, 9]",3.0,5.0,10.0,11.0,16.0,4.0,1.0
강현숙,9,"[3935, 26658, 1021, 2066, 2993, 1172, 1741, 16168, 12849, 24914, 14678, 25380, 1459, 12980, 22867, 17612, 13503, 25244, 7145, 1336, 1603, 25761, 2941, 19601, 9279, 2168, 21872, 25392, 16464, 7904, 15720, 17623, 15904, 14672, 2810, 1120, 15809, 25396, 14896, 23839, 14727, 17262, 5568, 21314, 9037, 1605, 22032, 13988, 10809, 11660]","[17, 17, 8, 15, 6, 24, 19, 12, 10, 15, 14, 18, 7, 11, 11, 14, 19, 18, 20, 17, 19, 18, 6, 12, 13, 10, 15, 23, 9, 0, 6, 14, 6, 18, 5, 7, 12, 24, 0, 23, 16, 7, 7, 9, 6, 18, 16, 23, 4, 10]",2.0,2.0,15.0,12.0,14.0,5.0,0.0
김서영,2,"[1658, 14925, 13273, 4896, 2673, 1755, 3307, 27607, 19585, 5533, 20933, 1937, 11134, 20046, 2185, 22278, 10888, 11883, 10737, 10816, 15314, 2644, 3689, 2058, 14659, 27902, 14461, 28264, 5522, 11109, 13017, 5648, 16878, 4583, 29197, 17831, 3319, 2965, 2713, 16459, 5211, 25510, 25432, 9616, 24437, 16990, 27508, 5377, 26099, 27319]","[19, 12, 11, 0, 17, 7, 16, 22, 18, 5, 17, 13, 3, 12, 19, 30, 14, 13, 20, 7, 22, 9, 13, 13, 5, 0, 14, 24, 1, 3, 0, 6, 22, 4, 9, 16, 23, 3, 9, 8, 5, 28, 23, 15, 17, 17, 19, 21, 7, 17]",3.0,8.0,8.0,10.0,12.0,7.0,2.0
신승민,1,"[14217, 17400, 10948, 16712, 2796, 18439, 12926, 2758, 21853, 12968, 2578, 2939, 1427, 1183, 9987, 10952, 27606, 28382, 16946, 9576, 18769, 5646, 6597, 14244, 10258, 5466, 5700, 21918, 5656, 25953, 25011, 5566, 1549, 11392, 9094, 15649, 17140, 15955, 14942, 16938, 28329, 17136, 20390, 28116, 27896, 2524, 10102, 1265, 19567, 23638]","[11, 16, 0, 8, 16, 26, 19, 12, 23, 9, 7, 21, 6, 9, 0, 1, 24, 28, 14, 14, 12, 19, 13, 7, 16, 22, 0, 4, 4, 13, 21, 4, 12, 29, 3, 8, 12, 19, 16, 11, 23, 14, 15, 8, 11, 11, 3, 18, 15, 19]",3.0,6.0,8.0,15.0,9.0,6.0,3.0
김서현,1,"[13142, 5570, 15931, 14465, 12174, 25181, 2864, 27163, 1550, 11933, 2073, 3895, 27970, 25416, 26272, 18254, 23085, 17465, 1876, 9024, 2832, 14652, 6588, 25289, 12970, 20419, 19592, 23820, 27445, 12879, 25973, 14654, 25710, 28298, 1389, 3751, 17828, 1564, 26164, 11637, 20546, 2228, 2751, 14697, 23757, 2452, 11691, 4659, 27085, 1504]","[21, 19, 12, 9, 4, 12, 4, 15, 4, 22, 12, 16, 10, 9, 23, 26, 12, 30, 8, 11, 17, 1, 10, 12, 12, 13, 6, 14, 4, 0, 18, 6, 9, 8, 10, 13, 11, 9, 30, 6, 6, 13, 6, 4, 9, 20, 21, 6, 14, 12]",1.0,6.0,16.0,15.0,5.0,4.0,3.0
김준영,9,"[18934, 2221, 12745, 10472, 14852, 11656, 1345, 28238, 25201, 24543, 5009, 13116, 5568, 15719, 13182, 6137, 19646, 3213, 11109, 5577, 11067, 2740, 4044, 17124, 2527, 14596, 5426, 2067, 1726, 3688, 13756, 25343, 27878, 23749, 22960, 22989, 1495, 12858, 18169, 24520, 9034, 10212, 5339, 26594, 28439, 1765, 23883, 26076, 16886, 1096]","[27, 0, 17, 10, 12, 7, 14, 6, 16, 22, 20, 7, 7, 6, 24, 12, 16, 7, 3, 14, 11, 6, 14, 8, 10, 10, 6, 0, 13, 14, 24, 11, 13, 12, 19, 20, 10, 21, 0, 18, 18, 0, 1, 3, 16, 14, 12, 16, 18, 18]",4.0,3.0,13.0,13.0,12.0,4.0,1.0
한영길,3,"[12952, 18767, 14925, 9206, 26038, 28139, 14730, 23055, 14672, 20120, 23821, 12920, 26603, 25793, 27888, 10979, 15940, 20917, 2364, 9057, 17233, 4811, 15975, 2076, 5466, 4241, 17079, 3066, 18158, 20185, 11378, 1159, 14585, 4883, 1862, 12906, 16570, 9047, 16906, 25800, 1374, 2784, 17305, 25389, 2731, 27882, 28254, 2066, 4320, 11504]","[0, 17, 12, 19, 18, 12, 6, 4, 18, 13, 16, 17, 13, 10, 14, 17, 22, 12, 15, 10, 18, 11, 8, 19, 22, 14, 20, 14, 4, 0, 18, 4, 10, 10, 7, 13, 16, 5, 16, 19, 11, 9, 12, 20, 16, 17, 19, 15, 9, 6]",2.0,4.0,10.0,14.0,18.0,2.0,0.0
문명숙,2,"[11953, 2341, 25637, 25917, 1232, 16288, 15814, 12874, 7623, 1742, 11094, 14879, 22952, 10867, 2472, 10165, 11439, 2750, 25509, 27950, 17375, 14595, 15907, 25331, 14946, 15660, 27323, 13323, 12787, 24937, 2023, 1048, 12917, 1626, 17239, 15685, 25010, 5655, 23881, 6591, 17449, 22982, 2852, 14282, 24315, 20496, 1156, 13252, 1679, 11068]","[21, 12, 15, 11, 22, 13, 4, 17, 21, 17, 4, 0, 8, 6, 20, 16, 17, 4, 26, 23, 26, 13, 16, 11, 19, 15, 1, 23, 6, 4, 11, 17, 21, 22, 18, 12, 26, 0, 5, 8, 14, 22, 8, 18, 7, 15, 21, 12, 10, 6]",2.0,6.0,8.0,12.0,10.0,9.0,3.0
김명숙,8,"[14631, 18828, 28453, 28425, 11059, 25971, 9246, 27534, 27945, 15675, 9935, 18824, 1913, 9248, 2208, 23260, 9083, 1204, 17401, 2088, 19941, 23259, 27532, 1231, 14699, 11296, 28019, 15927, 3345, 2218, 5695, 4211, 14429, 18374, 25958, 25334, 9935, 16282, 24462, 11945, 14888, 1278, 4373, 24544, 22875, 2705, 14243, 26074, 7482, 2747]","[19, 0, 2, 17, 6, 15, 14, 13, 13, 20, 12, 0, 8, 18, 14, 19, 0, 21, 16, 15, 8, 15, 11, 15, 11, 4, 15, 11, 18, 13, 18, 24, 5, 26, 12, 15, 12, 12, 12, 2, 10, 13, 15, 4, 20, 10, 16, 16, 5, 4]",3.0,7.0,5.0,21.0,11.0,2.0,1.0
박승민,10,"[9272, 18832, 19953, 3657, 4839, 7571, 9082, 9507, 25031, 21866, 25685, 3891, 14394, 1476, 20158, 5616, 15312, 2878, 2032, 16857, 6293, 21276, 17478, 7788, 7513, 2092, 11084, 1123, 1982, 22957, 19580, 27743, 26614, 1020, 17844, 15724, 10935, 7579, 28301, 12839, 2256, 5823, 3907, 27311, 24418, 11722, 16463, 5587, 23720, 1366]","[8, 0, 12, 14, 7, 10, 11, 7, 16, 3, 15, 0, 7, 6, 15, 10, 6, 14, 18, 24, 27, 14, 6, 19, 5, 15, 14, 22, 17, 16, 16, 18, 21, 19, 19, 10, 0, 13, 21, 16, 18, 26, 21, 11, 7, 9, 8, 8, 22, 8]",3.0,2.0,15.0,11.0,11.0,6.0,2.0
신은정,2,"[12790, 13186, 1426, 27947, 1225, 9029, 1445, 13146, 3699, 1745, 18824, 27438, 2481, 17360, 25714, 17084, 22026, 7975, 28398, 10911, 1116, 24510, 14335, 12891, 2963, 9320, 1025, 17074, 24040, 10173, 12739, 20562, 18798, 23259, 18857, 17210, 16892, 11406, 9039, 2904, 13033, 27173, 14465, 1494, 17938, 2826, 1026, 1300, 11404, 1009]","[3, 21, 18, 18, 4, 14, 14, 16, 6, 20, 0, 12, 14, 11, 16, 17, 14, 19, 20, 22, 19, 4, 13, 9, 13, 13, 11, 10, 9, 4, 8, 19, 21, 15, 21, 3, 21, 17, 0, 13, 0, 22, 9, 20, 6, 21, 7, 15, 12, 4]",3.0,6.0,8.0,14.0,12.0,7.0,0.0
김미영,1,"[13421, 24453, 27504, 10093, 2264, 19590, 6525, 12879, 20426, 7869, 27734, 18513, 24433, 15787, 28295, 25372, 28457, 20209, 24533, 25438, 13395, 2800, 11451, 1696, 2219, 1766, 8989, 1393, 24315, 1920, 14575, 12884, 15675, 27894, 25924, 17451, 18932, 5717, 3923, 17255, 25551, 2567, 28061, 9358, 11003, 27382, 1965, 19851, 2415, 19699]","[14, 13, 16, 4, 0, 15, 13, 0, 20, 14, 20, 12, 18, 9, 2, 1, 15, 13, 10, 23, 0, 11, 13, 0, 12, 14, 9, 10, 7, 7, 10, 17, 20, 17, 18, 8, 27, 2, 9, 12, 5, 7, 3, 6, 16, 20, 9, 21, 20, 9]",4.0,6.0,13.0,13.0,11.0,2.0,1.0
김상호,10,"[13432, 23328, 1740, 10926, 17618, 7489, 1689, 14241, 17433, 1563, 15563, 8898, 2545, 14659, 1780, 3095, 3066, 19589, 27157, 10826, 27938, 1530, 12735, 14253, 10102, 21279, 5813, 20132, 18353, 2705, 1676, 12983, 14583, 10999, 9343, 13900, 23315, 12907, 11561, 24229, 4315, 11439, 1864, 18827, 13713, 13314, 21925, 18512, 15664, 10774]","[22, 14, 7, 1, 3, 4, 12, 8, 11, 12, 10, 23, 6, 5, 9, 12, 14, 24, 18, 6, 24, 19, 23, 0, 3, 16, 24, 21, 9, 10, 6, 14, 12, 17, 15, 7, 22, 11, 8, 12, 16, 17, 4, 22, 16, 13, 13, 5, 9, 7]",1.0,7.0,13.0,13.0,7.0,9.0,0.0
이준호,8,"[27296, 19939, 4752, 2702, 2698, 21316, 1330, 10921, 2522, 17441, 12108, 1333, 25392, 18766, 22876, 1144, 14609, 14181, 19545, 2932, 1889, 18183, 14880, 17128, 26655, 28074, 18883, 24554, 14381, 24679, 14285, 7787, 11720, 28684, 17832, 1133, 18790, 22850, 11000, 20120, 4357, 17407, 16137, 12917, 1230, 17351, 14556, 21314, 14736, 26039]","[11, 7, 16, 4, 12, 8, 1, 24, 3, 24, 19, 4, 23, 5, 17, 23, 11, 23, 20, 9, 12, 24, 25, 9, 15, 2, 3, 24, 7, 19, 17, 17, 2, 19, 0, 16, 14, 20, 11, 13, 20, 18, 14, 21, 15, 12, 13, 9, 5, 17]",1.0,9.0,6.0,12.0,13.0,9.0,0.0
박승민,3,"[4964, 1169, 8922, 14389, 14878, 9239, 28456, 14857, 24726, 19580, 13422, 18228, 28278, 14843, 28474, 2594, 25399, 11008, 1119, 5347, 14844, 2025, 1568, 24455, 27162, 11504, 13163, 11695, 14900, 20541, 11939, 19646, 17477, 2195, 18941, 5051, 3853, 28323, 7577, 26163, 14552, 20057, 17619, 23805, 11947, 14207, 23318, 1874, 19586, 15740]","[11, 15, 7, 19, 22, 8, 6, 0, 12, 16, 12, 4, 7, 5, 16, 8, 16, 6, 14, 6, 0, 27, 4, 18, 8, 6, 4, 17, 0, 16, 20, 16, 27, 11, 24, 21, 0, 4, 21, 8, 13, 13, 13, 3, 7, 19, 11, 9, 22, 1]",4.0,7.0,12.0,10.0,10.0,5.0,2.0
황준서,9,"[27635, 7981, 2909, 25337, 21737, 17435, 17668, 10252, 21870, 25756, 27914, 3094, 12905, 6000, 27904, 20416, 8320, 27949, 14434, 13318, 25563, 11692, 2412, 4782, 17205, 13187, 10472, 23759, 1641, 12958, 23327, 23055, 1816, 28084, 27635, 2793, 25690, 5107, 13319, 25392, 1116, 5460, 12880, 24400, 10040, 2480, 17451, 27444, 13267, 4256]","[14, 19, 4, 17, 10, 15, 21, 9, 11, 3, 9, 0, 13, 18, 26, 9, 4, 20, 15, 24, 21, 13, 12, 14, 11, 23, 10, 14, 0, 0, 13, 4, 5, 17, 14, 17, 13, 10, 16, 23, 19, 28, 17, 11, 4, 2, 8, 8, 21, 14]",3.0,7.0,8.0,15.0,9.0,6.0,2.0
김우진,6,"[2993, 27741, 28079, 26272, 1654, 28216, 14696, 22852, 16711, 12287, 15899, 27472, 16135, 20564, 15313, 14263, 5648, 25608, 11666, 2768, 15897, 10468, 20297, 2687, 11091, 12873, 10839, 14852, 25588, 28306, 19595, 4015, 2623, 16928, 1241, 2374, 24529, 11720, 25388, 2912, 24393, 18428, 3646, 2955, 17428, 16487, 1874, 14701, 9934, 11910]","[6, 15, 16, 23, 9, 15, 5, 19, 19, 16, 19, 21, 14, 22, 21, 17, 6, 15, 13, 0, 14, 17, 21, 11, 4, 7, 19, 12, 13, 30, 14, 16, 13, 11, 11, 12, 17, 2, 26, 19, 8, 11, 0, 14, 16, 0, 9, 18, 10, 21]",3.0,3.0,7.0,16.0,13.0,6.0,2.0
권진우,5,"[17077, 9932, 1011, 16945, 12896, 4008, 18246, 11385, 12920, 15873, 14718, 1175, 3828, 4811, 27114, 26004, 3808, 1471, 3833, 13361, 25625, 2344, 28405, 9229, 23560, 16856, 1366, 12103, 21942, 13459, 4839, 16637, 9617, 1657, 27115, 22353, 2535, 5637, 11939, 2312, 4017, 24522, 14467, 11557, 18405, 13312, 2115, 15778, 13031, 23765]","[22, 0, 11, 9, 14, 21, 20, 22, 17, 2, 13, 15, 16, 11, 12, 3, 0, 17, 0, 21, 2, 12, 21, 5, 9, 22, 8, 16, 14, 15, 7, 13, 0, 18, 15, 10, 6, 7, 20, 8, 18, 19, 5, 5, 11, 12, 11, 17, 14, 18]",4.0,6.0,8.0,15.0,11.0,6.0,0.0
최정남,9,"[15504, 18247, 1007, 1588, 25196, 2962, 14573, 18241, 3025, 16202, 6416, 23052, 16467, 17412, 24509, 17617, 13017, 1792, 1466, 16116, 16165, 5670, 14429, 5480, 2805, 1236, 14923, 27084, 25027, 6264, 7482, 25796, 19535, 11667, 27865, 27874, 1610, 12951, 25689, 23978, 1741, 1967, 12107, 17305, 1752, 15705, 3882, 1113, 13539, 26519]","[21, 3, 14, 15, 16, 17, 15, 18, 17, 13, 0, 27, 15, 17, 6, 23, 0, 21, 14, 15, 8, 17, 5, 20, 9, 5, 12, 11, 0, 20, 5, 15, 13, 23, 5, 0, 0, 17, 12, 11, 19, 12, 13, 12, 18, 9, 18, 15, 25, 18]",5.0,5.0,4.0,17.0,13.0,5.0,1.0
김도현,5,"[17829, 28103, 3141, 1858, 2062, 20932, 1471, 25635, 15671, 25401, 16681, 22115, 10067, 28357, 16233, 2007, 16931, 1584, 2237, 14406, 16711, 11928, 1612, 16001, 20416, 16971, 27914, 1070, 15733, 12961, 25822, 21874, 7627, 1892, 25304, 17267, 9936, 25421, 15684, 20550, 23755, 5338, 28119, 1279, 2538, 3998, 16135, 12104, 28684, 14891]","[9, 10, 0, 16, 15, 17, 17, 12, 10, 11, 14, 11, 22, 9, 15, 18, 9, 11, 17, 0, 19, 17, 11, 21, 9, 13, 9, 20, 1, 21, 10, 14, 21, 15, 2, 16, 17, 10, 13, 18, 18, 1, 13, 14, 16, 24, 14, 16, 19, 11]",2.0,3.0,9.0,16.0,15.0,5.0,0.0
심영진,7,"[12847, 26097, 3980, 18428, 2231, 1534, 10985, 3896, 14433, 14224, 3041, 28143, 23743, 14853, 24041, 19547, 5025, 10872, 15651, 5014, 25979, 20208, 5575, 1793, 13988, 17281, 12795, 20492, 13900, 16949, 16461, 27441, 1035, 10438, 10419, 15916, 1935, 2829, 15789, 2479, 2737, 1157, 25919, 27963, 27505, 3256, 9290, 25713, 11390, 19596]","[8, 15, 11, 11, 4, 17, 14, 10, 17, 15, 5, 18, 14, 24, 12, 23, 18, 1, 8, 10, 10, 11, 2, 9, 23, 12, 21, 1, 7, 0, 10, 16, 15, 19, 3, 10, 8, 13, 12, 12, 13, 5, 14, 5, 15, 10, 7, 16, 14, 19]",1.0,8.0,12.0,17.0,8.0,4.0,0.0
박수민,9,"[10468, 20120, 1300, 14417, 21323, 2091, 4092, 25384, 20001, 17293, 1464, 1789, 6518, 18222, 2089, 1433, 2581, 13274, 9493, 1551, 18170, 1699, 2209, 27930, 3857, 1802, 22972, 5729, 15631, 22949, 17353, 18917, 5565, 25578, 27494, 11561, 3498, 1285, 17366, 7146, 22851, 1347, 16133, 27957, 23058, 1540, 16898, 23821, 1126, 11365]","[17, 13, 15, 20, 20, 13, 18, 21, 4, 4, 12, 6, 7, 9, 9, 15, 4, 10, 3, 5, 13, 9, 19, 5, 19, 10, 18, 14, 0, 16, 19, 8, 3, 15, 4, 8, 19, 15, 25, 12, 22, 8, 20, 28, 13, 13, 17, 16, 18, 2]",1.0,9.0,10.0,12.0,14.0,3.0,1.0
강병철,8,"[11665, 6505, 24479, 24267, 3987, 17243, 28105, 16004, 2741, 1669, 10273, 7656, 3698, 1326, 23796, 2230, 25210, 21565, 21555, 7424, 17126, 23031, 17607, 14885, 6268, 3043, 18771, 17454, 10160, 8898, 27870, 17087, 12912, 20306, 16482, 3159, 10265, 17391, 16679, 15564, 24551, 15351, 20930, 5636, 27318, 3182, 19998, 9032, 26155, 17938]","[5, 14, 9, 4, 10, 11, 21, 0, 1, 11, 15, 6, 16, 9, 11, 11, 14, 20, 9, 19, 17, 12, 24, 22, 24, 17, 21, 14, 15, 23, 21, 9, 15, 21, 0, 18, 17, 10, 16, 22, 13, 4, 16, 10, 18, 8, 24, 0, 15, 6]",3.0,4.0,10.0,13.0,10.0,10.0,0.0
이서현,6,"[2586, 2505, 13877, 3657, 1810, 2299, 13459, 5800, 18867, 24441, 6359, 1511, 10161, 15791, 12015, 20659, 10570, 12426, 20506, 20291, 10451, 2720, 10426, 14269, 7904, 12962, 9276, 24905, 1105, 18406, 28417, 2411, 12087, 17478, 23759, 1459, 17138, 23803, 25797, 27212, 21966, 2667, 18164, 4383, 24515, 25031, 14857, 24060, 22867, 13420]","[24, 16, 4, 14, 13, 0, 15, 6, 9, 16, 4, 16, 0, 15, 14, 26, 5, 21, 15, 8, 8, 3, 5, 14, 0, 0, 20, 0, 10, 4, 3, 12, 0, 6, 14, 7, 19, 3, 17, 13, 6, 10, 21, 6, 18, 16, 0, 8, 11, 4]",7.0,9.0,11.0,11.0,8.0,3.0,1.0
김승민,1,"[9944, 1464, 24525, 10914, 25330, 26094, 14862, 17615, 7770, 11386, 14277, 28705, 5377, 16397, 24271, 23282, 2466, 20194, 20548, 9527, 28283, 10727, 2216, 14866, 25312, 1789, 21133, 3673, 10060, 13177, 15932, 20188, 2753, 20419, 27945, 10843, 11931, 17175, 24683, 24887, 28349, 15307, 29199, 24500, 24521, 11664, 28070, 2835, 2325, 19577]","[13, 12, 13, 6, 11, 16, 21, 10, 4, 26, 11, 18, 21, 12, 18, 19, 22, 23, 7, 14, 12, 25, 13, 20, 10, 6, 19, 13, 21, 25, 0, 16, 1, 13, 13, 0, 6, 8, 23, 14, 22, 18, 14, 9, 21, 11, 11, 14, 16, 16]",2.0,2.0,8.0,17.0,10.0,10.0,1.0
남유진,7,"[13433, 1244, 2056, 2378, 5577, 1876, 16971, 21323, 15502, 24236, 14590, 25543, 17386, 13420, 1047, 18124, 17216, 11939, 17213, 4994, 22114, 16985, 1773, 1718, 1937, 6143, 1965, 2790, 7783, 6612, 15811, 14398, 2608, 16932, 15782, 16114, 10435, 16944, 27946, 17348, 1547, 4592, 2835, 5814, 3895, 12013, 25012, 12904, 14205, 1281]","[15, 7, 12, 13, 14, 8, 13, 20, 14, 19, 15, 13, 13, 4, 16, 8, 10, 20, 9, 13, 9, 14, 4, 4, 13, 14, 9, 9, 19, 14, 12, 18, 11, 13, 19, 8, 17, 4, 19, 24, 3, 4, 14, 22, 16, 15, 19, 11, 21, 22]",0.0,6.0,9.0,20.0,11.0,4.0,0.0
나옥순,4,"[5585, 27535, 3642, 13314, 11438, 25353, 5905, 29333, 2068, 7777, 27917, 9629, 21919, 17479, 13397, 16943, 3662, 16929, 1687, 17206, 1399, 16681, 1102, 9039, 7623, 1511, 11037, 14934, 24484, 24897, 24507, 13411, 2027, 1728, 18805, 1500, 12918, 24918, 28294, 28284, 14719, 11084, 10820, 23900, 2730, 5600, 1787, 1404, 1023, 17366]","[4, 8, 0, 13, 16, 26, 20, 14, 0, 22, 17, 19, 8, 8, 12, 10, 19, 12, 13, 5, 16, 14, 16, 0, 21, 16, 12, 17, 9, 22, 23, 7, 18, 17, 25, 9, 22, 26, 12, 14, 11, 14, 4, 13, 10, 8, 19, 8, 18, 25]",3.0,3.0,10.0,12.0,13.0,7.0,2.0
이경희,3,"[2489, 1652, 23316, 24522, 22985, 15807, 2604, 24057, 12516, 17487, 19940, 28070, 10803, 17401, 4949, 2780, 2899, 26086, 4044, 16726, 1279, 11091, 28402, 14678, 19642, 20926, 1509, 5476, 17947, 1011, 18250, 20957, 18163, 1286, 14589, 14704, 25354, 14571, 2573, 14257, 3064, 19853, 2090, 23044, 9015, 11439, 3096, 14645, 16687, 21758]","[25, 6, 14, 19, 15, 16, 22, 9, 18, 4, 11, 11, 18, 16, 7, 10, 21, 13, 14, 18, 14, 4, 21, 14, 16, 14, 15, 21, 16, 11, 16, 13, 29, 10, 20, 24, 30, 18, 12, 14, 12, 22, 7, 16, 15, 17, 12, 1, 22, 11]",0.0,3.0,6.0,18.0,13.0,8.0,2.0
김서준,4,"[28130, 1093, 24482, 14407, 3346, 2364, 23344, 23888, 2867, 18918, 5180, 2076, 18832, 17283, 18795, 25008, 5176, 17117, 16462, 9545, 16877, 2687, 25430, 4233, 28301, 2113, 23319, 13713, 2176, 21771, 12854, 13249, 1344, 17294, 2626, 2560, 9935, 23027, 17467, 9023, 2858, 15314, 3724, 4883, 5535, 11408, 14442, 10244, 2407, 1372]","[15, 18, 9, 18, 18, 15, 0, 10, 17, 27, 13, 19, 0, 5, 4, 19, 4, 0, 4, 16, 18, 11, 16, 11, 21, 24, 0, 16, 14, 5, 14, 11, 12, 5, 21, 13, 12, 4, 21, 14, 4, 22, 6, 10, 12, 18, 13, 15, 8, 19]",4.0,8.0,5.0,15.0,12.0,5.0,1.0
이은지,5,"[15700, 1995, 23881, 12988, 2079, 2398, 25629, 13713, 3654, 2407, 2651, 1909, 17940, 24540, 3004, 23794, 17118, 27306, 27742, 16004, 26522, 19578, 4305, 20536, 14237, 25294, 2357, 2124, 2221, 28698, 14678, 17008, 11067, 2904, 9944, 23796, 12847, 2742, 2262, 19530, 9522, 28247, 2320, 25973, 9176, 19636, 28015, 2607, 25827, 19945]","[2, 0, 5, 19, 15, 15, 3, 16, 22, 8, 12, 22, 14, 18, 3, 3, 20, 20, 12, 0, 24, 22, 17, 27, 0, 11, 15, 17, 0, 22, 14, 0, 11, 13, 13, 11, 8, 2, 12, 22, 22, 0, 15, 18, 12, 7, 9, 8, 10, 5]",6.0,7.0,6.0,15.0,8.0,7.0,1.0
신정자,3,"[19851, 1604, 17230, 4626, 14589, 12108, 14391, 2046, 2879, 14616, 22949, 25241, 18345, 5561, 19540, 28281, 2932, 19601, 15641, 9575, 14614, 2530, 27737, 1836, 14393, 25438, 7890, 2452, 24548, 10814, 1326, 7881, 12433, 11781, 11408, 5569, 11900, 17388, 17447, 28327, 15558, 3190, 25432, 2905, 12883, 18795, 17961, 16911, 10715, 28457]","[21, 17, 18, 8, 20, 19, 13, 0, 13, 15, 16, 15, 24, 16, 21, 2, 9, 12, 0, 7, 4, 2, 10, 17, 20, 23, 25, 20, 13, 6, 9, 13, 16, 15, 18, 12, 15, 2, 16, 20, 11, 12, 23, 19, 0, 4, 26, 21, 15, 15]",3.0,5.0,6.0,14.0,14.0,7.0,1.0
황영숙,7,"[17306, 2199, 16971, 25010, 2962, 13699, 14489, 2598, 28467, 27528, 25964, 2917, 24049, 8012, 28425, 10275, 15814, 1822, 18348, 26041, 1734, 16978, 25456, 28014, 20503, 17373, 27501, 17455, 2402, 24050, 4848, 28160, 24680, 21760, 3323, 24497, 13018, 10727, 25758, 1895, 2183, 12849, 7141, 1723, 16478, 10888, 27323, 10299, 1438, 27297]","[18, 0, 13, 26, 17, 7, 2, 18, 13, 14, 18, 14, 5, 16, 17, 5, 4, 7, 22, 4, 20, 17, 20, 3, 22, 20, 15, 15, 14, 16, 9, 21, 22, 6, 23, 17, 12, 25, 10, 7, 5, 10, 17, 15, 5, 14, 1, 0, 14, 11]",2.0,9.0,7.0,12.0,13.0,6.0,1.0
김선영,5,"[25170, 15713, 28468, 1918, 13551, 2351, 13535, 15780, 1736, 18836, 2847, 20540, 2579, 2451, 13207, 2997, 13171, 3495, 14864, 14713, 17280, 2532, 1979, 11971, 27305, 3828, 16899, 1464, 24885, 17521, 2811, 28142, 15715, 2812, 16126, 24043, 7432, 2890, 12956, 14254, 5639, 21864, 26221, 16572, 23846, 2565, 15551, 24235, 2114, 19623]","[12, 18, 17, 14, 22, 20, 0, 3, 15, 0, 7, 3, 8, 17, 22, 3, 8, 10, 14, 9, 15, 17, 16, 6, 21, 16, 18, 12, 12, 7, 7, 13, 19, 13, 20, 18, 13, 6, 13, 11, 11, 24, 21, 16, 15, 11, 13, 19, 0, 13]",3.0,3.0,9.0,17.0,13.0,5.0,0.0
서수빈,2,"[28300, 17405, 1214, 10735, 14436, 1489, 25171, 20665, 2834, 10954, 24457, 18016, 9339, 10809, 12974, 4998, 25500, 20562, 10987, 13336, 14844, 5431, 27904, 16504, 28354, 9169, 11396, 13710, 11946, 16466, 24340, 1008, 5216, 17097, 25621, 27313, 20182, 18312, 19572, 25398, 11282, 2620, 6498, 8112, 7619, 11747, 27904, 18120, 12833, 21863]","[18, 27, 16, 26, 27, 15, 14, 12, 17, 19, 18, 0, 5, 4, 19, 4, 17, 19, 3, 21, 0, 13, 26, 3, 16, 19, 0, 15, 7, 5, 19, 1, 0, 19, 15, 12, 13, 4, 3, 29, 2, 18, 12, 17, 17, 8, 26, 17, 5, 19]",4.0,11.0,2.0,9.0,17.0,1.0,6.0
송미경,10,"[26122, 9028, 11869, 10798, 15570, 25312, 2204, 23892, 9029, 2016, 2521, 1228, 15710, 13536, 16459, 23760, 7469, 9470, 12742, 11572, 2841, 9498, 12014, 2389, 25713, 14722, 26654, 16494, 18231, 22973, 17113, 20061, 16905, 21737, 13702, 1311, 17086, 2503, 16114, 23309, 25606, 16915, 5433, 1573, 23756, 12756, 15903, 16122, 25387, 20126]","[6, 13, 17, 5, 15, 10, 5, 14, 14, 11, 0, 17, 11, 19, 8, 16, 19, 13, 16, 16, 10, 1, 14, 20, 16, 12, 15, 11, 11, 9, 0, 14, 18, 10, 8, 15, 9, 8, 8, 12, 15, 18, 0, 18, 4, 3, 10, 17, 19, 8]",3.0,5.0,12.0,16.0,14.0,0.0,0.0
